epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.513,1.25887,1.98541,1.24536,0.55495,0.56664,0.55505,0.37218,1.10955,1.42557,1.13752,0.000206876,0.000206876,0.000206876
2,134.582,1.21548,1.43147,1.21209,0.51509,0.51294,0.53177,0.35025,1.18022,1.38023,1.18301,0.000406989,0.000406989,0.000406989
3,200.145,1.23684,1.4,1.23037,0.59843,0.49248,0.52857,0.33307,1.2012,1.38338,1.21458,0.000598851,0.000598851,0.000598851
4,264.71,1.23259,1.37597,1.2321,0.56343,0.48548,0.5102,0.32713,1.24187,1.44028,1.2468,0.000587875,0.000587875,0.000587875
5,329.164,1.21556,1.3264,1.21764,0.53521,0.57178,0.56704,0.37508,1.19718,1.25707,1.18979,0.0005755,0.0005755,0.0005755
6,393.049,1.2057,1.27241,1.20645,0.62447,0.55832,0.60789,0.40663,1.15374,1.23257,1.16748,0.000563125,0.000563125,0.000563125
7,458.118,1.19597,1.24088,1.20117,0.52941,0.6061,0.59435,0.39675,1.13991,1.19013,1.16965,0.00055075,0.00055075,0.00055075
8,523.149,1.18331,1.21003,1.19418,0.64663,0.58523,0.63213,0.41936,1.14861,1.15287,1.17636,0.000538375,0.000538375,0.000538375
9,588.05,1.16152,1.1718,1.1777,0.61319,0.63435,0.63677,0.42434,1.13326,1.14039,1.16814,0.000526,0.000526,0.000526
10,652.543,1.1527,1.15428,1.17466,0.62647,0.62616,0.64689,0.43609,1.13761,1.13099,1.1616,0.000513625,0.000513625,0.000513625
11,716.313,1.14685,1.13397,1.16937,0.63387,0.64025,0.66246,0.44712,1.12732,1.10881,1.15273,0.00050125,0.00050125,0.00050125
12,780.46,1.13336,1.09689,1.16149,0.70607,0.60486,0.65931,0.45203,1.13094,1.10463,1.15541,0.000488875,0.000488875,0.000488875
13,845.72,1.12581,1.0884,1.15703,0.66817,0.59083,0.64931,0.44363,1.11794,1.0942,1.14879,0.0004765,0.0004765,0.0004765
14,911.05,1.11874,1.06369,1.15243,0.66315,0.6227,0.6767,0.44378,1.11399,1.06393,1.14236,0.000464125,0.000464125,0.000464125
15,975.94,1.10579,1.05025,1.14511,0.6519,0.62252,0.67203,0.46402,1.11105,1.04209,1.14748,0.00045175,0.00045175,0.00045175
16,1041.19,1.09745,1.01743,1.13429,0.71803,0.60751,0.68232,0.454,1.11579,1.0388,1.14313,0.000439375,0.000439375,0.000439375
17,1105.49,1.08678,1.00433,1.13006,0.65638,0.64849,0.68968,0.47766,1.09726,1.04539,1.1236,0.000427,0.000427,0.000427
18,1170.67,1.07583,0.98786,1.12964,0.68055,0.63178,0.68318,0.4444,1.11226,1.04097,1.14588,0.000414625,0.000414625,0.000414625
19,1235.81,1.07243,0.9702,1.12425,0.66842,0.66172,0.67622,0.4614,1.11574,1.0704,1.14841,0.00040225,0.00040225,0.00040225
20,1300.72,1.06669,0.9566,1.11903,0.66695,0.63993,0.68795,0.49205,1.07871,1.01489,1.1187,0.000389875,0.000389875,0.000389875
21,1365.81,1.05293,0.93564,1.1146,0.70046,0.63136,0.70172,0.48543,1.09941,1.04013,1.12655,0.0003775,0.0003775,0.0003775
22,1431.69,1.05098,0.92574,1.10738,0.64644,0.65072,0.68388,0.47478,1.08791,1.00919,1.12521,0.000365125,0.000365125,0.000365125
23,1496.56,1.04056,0.91591,1.10489,0.67585,0.64785,0.69731,0.49094,1.08574,1.00985,1.12204,0.00035275,0.00035275,0.00035275
24,1561.17,1.03199,0.89624,1.10413,0.70916,0.62589,0.69395,0.48137,1.09105,1.01757,1.12989,0.000340375,0.000340375,0.000340375
25,1624.81,1.02389,0.87011,1.09394,0.69493,0.64181,0.69563,0.48622,1.08397,1.00868,1.12987,0.000328,0.000328,0.000328
26,1689.13,1.02478,0.86072,1.0938,0.6893,0.67244,0.70233,0.47763,1.09268,1.03104,1.13157,0.000315625,0.000315625,0.000315625
27,1754.19,1.01917,0.85312,1.09121,0.71858,0.6497,0.69486,0.48385,1.09141,1.00233,1.12381,0.00030325,0.00030325,0.00030325
28,1819.6,1.0056,0.83635,1.08519,0.74214,0.63757,0.70199,0.48873,1.0832,1.01366,1.12373,0.000290875,0.000290875,0.000290875
29,1884.44,0.9917,0.82074,1.07718,0.74514,0.63099,0.71269,0.50264,1.07863,0.98838,1.12587,0.0002785,0.0002785,0.0002785
30,1949.02,0.99557,0.81438,1.07675,0.77717,0.63379,0.71046,0.50233,1.08467,0.97291,1.12925,0.000266125,0.000266125,0.000266125
31,2013.95,0.98267,0.79638,1.07142,0.71316,0.64299,0.69355,0.4769,1.09018,1.01348,1.12418,0.00025375,0.00025375,0.00025375
32,2078.64,0.98759,0.78871,1.06927,0.69591,0.66668,0.70304,0.48922,1.0958,0.98714,1.12153,0.000241375,0.000241375,0.000241375
33,2145,0.97971,0.7761,1.06613,0.69075,0.66982,0.70803,0.49436,1.08387,0.98693,1.1251,0.000229,0.000229,0.000229
